label,Pitch,Duty,Height,T
1,200,0.4,200,90.22262734
2,200,0.48,200,90.34503541
3,200,0.56,200,90.48705366
4,200,0.64,200,90.60931663
5,200,0.72,200,90.66848328
6,200,0.8,200,90.64625621
7,200,0.4,240,91.81802819
8,200,0.48,240,92.15023301
9,200,0.56,240,92.28959401
10,200,0.64,240,92.23905581
11,200,0.72,240,92.00648985
12,200,0.8,240,91.62706351
13,200,0.4,280,93.43621077
14,200,0.48,280,93.3152911
15,200,0.56,280,92.9343831
16,200,0.64,280,92.4082401
17,200,0.72,280,91.84619855
18,200,0.8,280,91.29778888
19,200,0.4,320,92.58979318
20,200,0.48,320,91.94273227
21,200,0.56,320,91.31845971
22,200,0.64,320,90.81002366
23,200,0.72,320,90.47038713
24,200,0.8,320,90.26652842
25,200,0.4,360,90.59045292
26,200,0.48,360,90.25157504
27,200,0.56,360,90.14887668
28,200,0.64,360,90.20946627
29,200,0.72,360,90.33666479
30,200,0.8,360,90.43891631
31,200,0.4,400,90.40591362
32,200,0.48,400,90.8557073
33,200,0.56,400,91.31171766
34,200,0.64,400,91.62015336
35,200,0.72,400,91.6863503
36,200,0.8,400,91.50852882
37,240,0.4,200,90.26144363
38,240,0.48,200,90.40925757
39,240,0.56,200,90.56574373
40,240,0.64,200,90.68048197
41,240,0.72,200,90.72262997
42,240,0.8,200,90.67782996
43,240,0.4,240,91.93071813
44,240,0.48,240,92.24765584
45,240,0.56,240,92.35034272
46,240,0.64,240,92.25168425
47,240,0.72,240,91.98967284
48,240,0.8,240,91.60132413
49,240,0.4,280,93.4421134
50,240,0.48,280,93.24021722
51,240,0.56,280,92.80370347
52,240,0.64,280,92.26827671
53,240,0.72,280,91.72485396
54,240,0.8,280,91.21876099
55,240,0.4,320,92.44061099
56,240,0.48,320,91.75005611
57,240,0.56,320,91.14047675
58,240,0.64,320,90.69135
59,240,0.72,320,90.40228162
60,240,0.8,320,90.23910449
61,240,0.4,360,90.49250642
62,240,0.48,360,90.2042061
63,240,0.56,360,90.16232169
64,240,0.64,360,90.26145674
65,240,0.72,360,90.39299372
66,240,0.8,360,90.47711852
67,240,0.4,400,90.51268483
68,240,0.48,400,91.01216665
69,240,0.56,400,91.46048892
70,240,0.64,400,91.71142511
71,240,0.72,400,91.72071215
72,240,0.8,400,91.50464795
73,280,0.4,200,90.36255364
74,280,0.48,200,90.55528721
75,280,0.56,200,90.73540772
76,280,0.64,200,90.84555989
77,280,0.72,200,90.86048095
78,280,0.8,200,90.7766585
79,280,0.4,240,92.12580675
80,280,0.48,240,92.41873685
81,280,0.56,240,92.46549349
82,280,0.64,240,92.30761573
83,280,0.72,240,92.00329461
84,280,0.8,240,91.59602404
85,280,0.4,280,93.42566458
86,280,0.48,280,93.10769162
87,280,0.56,280,92.59825204
88,280,0.64,280,92.04932857
89,280,0.72,280,91.53970523
90,280,0.8,280,91.09107652
91,280,0.4,320,92.20280873
92,280,0.48,320,91.46788561
93,280,0.56,320,90.89276206
94,280,0.64,320,90.51788193
95,280,0.72,320,90.30474245
96,280,0.8,320,90.19705835
97,280,0.4,360,90.38505021
98,280,0.48,360,90.18299356
99,280,0.56,360,90.22941413
100,280,0.64,360,90.37746338
101,280,0.72,360,90.51203502
102,280,0.8,360,90.5681899
103,280,0.4,400,90.71376181
104,280,0.48,400,91.27252882
105,280,0.56,400,91.69674362
106,280,0.64,400,91.87135228
107,280,0.72,400,91.79894072
108,280,0.8,400,91.52734612
109,320,0.4,200,89.2692806
110,320,0.48,200,89.55728364
111,320,0.56,200,89.88672107
112,320,0.64,200,90.15238193
113,320,0.72,200,90.30486211
114,320,0.8,200,90.34371877
115,320,0.4,240,90.97951636
116,320,0.48,240,91.12875986
117,320,0.56,240,91.15322276
118,320,0.64,240,91.08703075
119,320,0.72,240,90.97247446
120,320,0.8,240,90.82205335
121,320,0.4,280,91.62400848
122,320,0.48,280,91.08064414
123,320,0.56,280,90.64497568
124,320,0.64,280,90.36318659
125,320,0.72,280,90.24032449
126,320,0.8,280,90.19981814
127,320,0.4,320,90.30658719
128,320,0.48,320,89.62849281
129,320,0.56,320,89.35715088
130,320,0.64,320,89.36052913
131,320,0.72,320,89.5165362
132,320,0.8,320,89.69873773
133,320,0.4,360,89.17083321
134,320,0.48,360,89.19797624
135,320,0.56,360,89.49739291
136,320,0.64,360,89.84487909
137,320,0.72,360,90.11538148
138,320,0.8,360,90.26210364
139,320,0.4,400,89.96246259
140,320,0.48,400,90.47943379
141,320,0.56,400,90.82809481
142,320,0.64,400,90.96859544
143,320,0.72,400,90.95198345
144,320,0.8,400,90.83550142
145,360,0.4,200,76.90669914
146,360,0.48,200,77.34862583
147,360,0.56,200,78.75640663
148,360,0.64,200,80.44640508
149,360,0.72,200,82.12554177
150,360,0.8,200,83.93843507
151,360,0.4,240,79.41433884
152,360,0.48,240,79.93032012
153,360,0.56,240,81.15868714
154,360,0.64,240,82.57350693
155,360,0.72,240,83.95502923
156,360,0.8,240,85.33877026
157,360,0.4,280,81.85380893
158,360,0.48,280,81.98003197
159,360,0.56,280,82.85391595
160,360,0.64,280,84.07054018
161,360,0.72,280,85.43379061
162,360,0.8,280,86.85618307
163,360,0.4,320,82.51742694
164,360,0.48,320,82.4551129
165,360,0.56,320,83.26441729
166,360,0.64,320,84.55028586
167,360,0.72,320,86.12054012
168,360,0.8,320,87.99859955
169,360,0.4,360,82.09974324
170,360,0.48,360,82.29170508
171,360,0.56,360,83.28178272
172,360,0.64,360,84.68623824
173,360,0.72,360,86.37043348
174,360,0.8,360,88.7162402
175,360,0.4,400,82.11926496
176,360,0.48,400,82.43611129
177,360,0.56,400,83.37751987
178,360,0.64,400,84.64344378
179,360,0.72,400,86.1551701
180,360,0.8,400,88.5370681
181,400,0.4,200,63.24641978
182,400,0.48,200,64.29983312
183,400,0.56,200,66.74404805
184,400,0.64,200,69.39708669
185,400,0.72,200,72.36753816
186,400,0.8,200,77.638922
187,400,0.4,240,66.72407002
188,400,0.48,240,68.38840315
189,400,0.56,240,70.77900681
190,400,0.64,240,72.68549665
191,400,0.72,240,73.93684662
192,400,0.8,240,78.10288041
193,400,0.4,280,73.32859571
194,400,0.48,280,75.03572874
195,400,0.56,280,77.20120138
196,400,0.64,280,78.81865025
197,400,0.72,280,77.95173153
198,400,0.8,280,79.18264887
199,400,0.4,320,79.72481059
200,400,0.48,320,81.09683493
201,400,0.56,320,83.2924335
202,400,0.64,320,85.54260545
203,400,0.72,320,81.99213046
204,400,0.8,320,79.48306378
205,400,0.4,360,83.60111521
206,400,0.48,360,84.52117935
207,400,0.56,360,86.99690268
208,400,0.64,360,89.8733544
209,400,0.72,360,84.90956433
210,400,0.8,360,80.44498028
211,400,0.4,400,84.47983577
212,400,0.48,400,84.55006729
213,400,0.56,400,86.74427504
214,400,0.64,400,90.0212566
215,400,0.72,400,87.14983761
216,400,0.8,400,82.85859941
